Fecha,Rosario,Paraná,Santa Fe,Ceres,Reconquista,Concordia,Gualeguaychú
1/1/2019,0,6,0,0,18,3,0
1/2/2019,36,28,50,65,50,45,60
1/3/2019,0,0,0,6,10,3,0
1/4/2019,0,0,0,0,0,0,0
1/5/2019,7,2,0,0,0,0,0
1/6/2019,9,10,9,41,72,48,38
1/7/2019,0,0,0,0,0,0,0.8
1/8/2019,0,0,0.2,0.6,41,0.5,0
1/9/2019,0,61,17,30,62,54,0
1/10/2019,1,6,0,0,10,0,3
1/11/2019,0,0,0,0.3,3,1,0
1/12/2019,55,3,2,0,22,1,0
1/13/2019,9,6,8,0,2,72,78
1/14/2019,32,37,29,19,27,0.9,28
1/15/2019,0,3,1,5,23,22,25
1/16/2019,0,0,2,11,0,22,0
1/17/2019,5,17,11,15,47,55,9
1/18/2019,0,0,0,0,0,0,1
1/19/2019,0,0,0,0,0,0,0
1/20/2019,0,0,0,0,0,0,0
1/21/2019,0,0,0,0,0,0,0
1/22/2019,11,55,41,0,0,0,34
1/23/2019,0,10,5,0,0,49,7
1/24/2019,0,0,0,0,0,0,0
1/25/2019,51,5,4,11,0,0,1
1/26/2019,0.2,16,3,59,21,0,0
1/27/2019,0,0,0,0,0.5,5,0
1/28/2019,0,0,0,0,0,0,0
1/29/2019,21,25,0,0,0,0,55
1/30/2019,3,6,6,0.1,0,69,5
1/31/2019,0,0,0,12,12,13,0
2/1/2019,0,0,0,15,2,53,0
2/2/2019,0,0,0,0,0,0,0
2/3/2019,0,0,0,0,0,0,0
2/4/2019,0,0,0,0,0,0,0
2/5/2019,0,0,0,0,0,0,0
2/6/2019,0,0,0,0,0,0,0
2/7/2019,0,0,0,0,0,0,0
2/8/2019,0,0,0,0,0,0,0
2/9/2019,0,0,0,16,11,0,0
2/10/2019,21,29,33,2,0,0,8
2/11/2019,0,0,0,5,20,13,0.2
2/12/2019,0,0,0,0,0,0,0
2/13/2019,3,0,0.4,0,0,0,0
2/14/2019,0,0,0.6,0,0,0,3
2/15/2019,0,0,0,0,0,0,0
2/16/2019,0,0,0,0,0,0,0
2/17/2019,0,0,0,0,0,0,0
2/18/2019,0,0,0,0,0,0,0
2/19/2019,0,0,0,0,0,0,0
2/20/2019,0,0,0,0,0,0,0
