Fecha,Estación Sauce Viejo Aero
01/01/2008,0
01/02/2008,0
01/03/2008,0
01/04/2008,0
01/05/2008,0
01/06/2008,3
01/07/2008,0
01/08/2008,0
01/09/2008,0
01/10/2008,4
01/11/2008,0
01/12/2008,0
1/13/2008,0
1/14/2008,0
1/15/2008,20
1/16/2008,3
1/17/2008,42
1/18/2008,7
1/19/2008,0
1/20/2008,0
1/21/2008,0
1/22/2008,0
1/23/2008,0
1/24/2008,0
1/25/2008,0
1/26/2008,9
1/27/2008,8
1/28/2008,1
1/29/2008,5
1/30/2008,0
1/31/2008,3
02/01/2008,0
02/02/2008,0
02/03/2008,0
02/04/2008,0
02/05/2008,0
02/06/2008,0
02/07/2008,17
02/08/2008,0.8
02/09/2008,0
02/10/2008,0
02/11/2008,0
02/12/2008,0
2/13/2008,0
2/14/2008,0
2/15/2008,0
2/16/2008,0
2/17/2008,0
2/18/2008,23
2/19/2008,0
2/20/2008,0.4
2/21/2008,2.7
2/22/2008,2
2/23/2008,0
2/24/2008,0
2/25/2008,0
2/26/2008,0
2/27/2008,43
2/28/2008,0
2/29/2008,0
03/01/2008,0.5
03/02/2008,0
03/03/2008,0.5
03/04/2008,0
03/05/2008,0
03/06/2008,0
03/07/2008,0
03/08/2008,11
03/09/2008,3
03/10/2008,0
03/11/2008,0
03/12/2008,0
3/13/2008,0
3/14/2008,0
3/15/2008,0
3/16/2008,0
3/17/2008,0
3/18/2008,0
3/19/2008,2.3
3/20/2008,0
3/21/2008,15.3
3/22/2008,2.3
3/23/2008,0
3/24/2008,0
3/25/2008,0
3/26/2008,2.2
3/27/2008,0
3/28/2008,0
3/29/2008,0.3
3/30/2008,0
3/31/2008,0
04/01/2008,0
04/02/2008,0
04/03/2008,0
04/04/2008,0
04/05/2008,0
04/06/2008,0
04/07/2008,0
04/08/2008,0
04/09/2008,0
04/10/2008,0
04/11/2008,0
04/12/2008,0
4/13/2008,0
4/14/2008,0
4/15/2008,0
4/16/2008,0
4/17/2008,0
4/18/2008,0
4/19/2008,0
4/20/2008,0
4/21/2008,0
4/22/2008,0
4/23/2008,0
4/24/2008,0
4/25/2008,49.3
4/26/2008,0.8
4/27/2008,0
4/28/2008,0
4/29/2008,0
4/30/2008,10
05/01/2008,2
05/02/2008,0
05/03/2008,0
05/04/2008,0
05/05/2008,0
05/06/2008,0
05/07/2008,0
05/08/2008,0
05/09/2008,0
05/10/2008,0
05/11/2008,0
05/12/2008,0
5/13/2008,0
5/14/2008,0
5/15/2008,0
5/16/2008,0
5/17/2008,0
5/18/2008,0
5/19/2008,0
5/20/2008,0
5/21/2008,0
5/22/2008,0
5/23/2008,20.5
5/24/2008,0
5/25/2008,0
5/26/2008,0
5/27/2008,0
5/28/2008,0
5/29/2008,0
5/30/2008,0
5/31/2008,0
06/01/2008,0
06/02/2008,0
06/03/2008,0
06/04/2008,0.3
06/05/2008,0
06/06/2008,0
06/07/2008,0
06/08/2008,2
06/09/2008,0
06/10/2008,0
06/11/2008,0
06/12/2008,0
6/13/2008,0
6/14/2008,0
6/15/2008,0
6/16/2008,0
6/17/2008,0
6/18/2008,0
6/19/2008,0.3
6/20/2008,0
6/21/2008,0.6
6/22/2008,0
6/23/2008,0
6/24/2008,0
6/25/2008,0
6/26/2008,0
6/27/2008,0
6/28/2008,0
6/29/2008,0
6/30/2008,0
07/01/2008,0
07/02/2008,0
07/03/2008,0.5
07/04/2008,0
07/05/2008,0
07/06/2008,15
07/07/2008,0
07/08/2008,0
07/09/2008,0
07/10/2008,0
07/11/2008,0
07/12/2008,0
7/13/2008,0
7/14/2008,0
7/15/2008,0
7/16/2008,0
7/17/2008,0
7/18/2008,0
7/19/2008,0
7/20/2008,0
7/21/2008,0.2
7/22/2008,0
7/23/2008,0
7/24/2008,0
7/25/2008,0
7/26/2008,0
7/27/2008,0
7/28/2008,0
7/29/2008,0
7/30/2008,0
7/31/2008,0
08/01/2008,0
08/02/2008,0
08/03/2008,0
08/04/2008,0
08/05/2008,0
08/06/2008,0
08/07/2008,0
08/08/2008,0
08/09/2008,0
08/10/2008,0
08/11/2008,0
08/12/2008,0
8/13/2008,0
8/14/2008,0
8/15/2008,0
8/16/2008,0
8/17/2008,0
8/18/2008,0
8/19/2008,0
8/20/2008,0
8/21/2008,0
8/22/2008,0
8/23/2008,0
8/24/2008,0
8/25/2008,0
8/26/2008,0
8/27/2008,0
8/28/2008,0
8/29/2008,0
8/30/2008,0
8/31/2008,0
09/01/2008,0
09/02/2008,0
09/03/2008,0
09/04/2008,0
09/05/2008,0
09/06/2008,0
09/07/2008,0
09/08/2008,0
09/09/2008,0
09/10/2008,0
09/11/2008,0
09/12/2008,0
9/13/2008,0
9/14/2008,0
9/15/2008,0
9/16/2008,0
9/17/2008,0
9/18/2008,0
9/19/2008,0
9/20/2008,0
9/21/2008,0
9/22/2008,0
9/23/2008,0
9/24/2008,0
9/25/2008,0
9/26/2008,0
9/27/2008,0.3
9/28/2008,38
9/29/2008,3
9/30/2008,0
10/01/2008,0
10/02/2008,0
10/03/2008,5
10/04/2008,0
10/05/2008,0
10/06/2008,0
10/07/2008,0
10/08/2008,0
10/09/2008,0
10/10/2008,0
10/11/2008,25
10/12/2008,31
10/13/2008,0
10/14/2008,0
10/15/2008,0.5
10/16/2008,0
10/17/2008,0
10/18/2008,0
10/19/2008,0
10/20/2008,0
10/21/2008,0
10/22/2008,0
10/23/2008,0
10/24/2008,0.6
10/25/2008,21
10/26/2008,0
10/27/2008,0
10/28/2008,7
10/29/2008,0
10/30/2008,0
10/31/2008,0
11/01/2008,0
11/02/2008,0
11/03/2008,0
11/04/2008,0
11/05/2008,4
11/06/2008,0
11/07/2008,0
11/08/2008,14
11/09/2008,0
11/10/2008,0
11/11/2008,0
11/12/2008,0
11/13/2008,0
11/14/2008,0
11/15/2008,0
11/16/2008,0
11/17/2008,0
11/18/2008,0
11/19/2008,0
11/20/2008,0
11/21/2008,0
11/22/2008,0
11/23/2008,0
11/24/2008,0
11/25/2008,0.9
11/26/2008,19
11/27/2008,0
11/28/2008,40
11/29/2008,5
11/30/2008,1
12/01/2008,0
12/02/2008,0
12/03/2008,0
12/04/2008,0
12/05/2008,0
12/06/2008,0
12/07/2008,0
12/08/2008,3
12/09/2008,6
12/10/2008,0
12/11/2008,0
12/12/2008,0
12/13/2008,0
12/14/2008,0
12/15/2008,0
12/16/2008,0
12/17/2008,0
12/18/2008,0
12/19/2008,2
12/20/2008,0
12/21/2008,11
12/22/2008,3
12/23/2008,0.6
12/24/2008,0
12/25/2008,0
12/26/2008,0
12/27/2008,4
12/28/2008,0
12/29/2008,0
12/30/2008,0
12/31/2008,0
01/01/2009,6
01/02/2009,5
01/03/2009,0
01/04/2009,0
01/05/2009,0
01/06/2009,0
01/07/2009,0
01/08/2009,0
01/09/2009,0
01/10/2009,0
01/11/2009,0
01/12/2009,0.3
1/13/2009,0
1/14/2009,0
1/15/2009,1
1/16/2009,0
1/17/2009,1
1/18/2009,0
1/19/2009,0
1/20/2009,0
1/21/2009,0
1/22/2009,0
1/23/2009,0
1/24/2009,4
1/25/2009,0
1/26/2009,0
1/27/2009,4
1/28/2009,4
1/29/2009,0
1/30/2009,0
1/31/2009,3
02/01/2009,5
02/02/2009,43
02/03/2009,0
02/04/2009,0
02/05/2009,35
02/06/2009,0
02/07/2009,0
02/08/2009,0
02/09/2009,0
02/10/2009,11
02/11/2009,0
02/12/2009,0
2/13/2009,0
2/14/2009,0
2/15/2009,0
2/16/2009,0
2/17/2009,0
2/18/2009,0
2/19/2009,0
2/20/2009,0
2/21/2009,32
2/22/2009,6
2/23/2009,0
2/24/2009,0
2/25/2009,0
2/26/2009,0
2/27/2009,0
2/28/2009,0
03/01/2009,14
03/02/2009,34
03/03/2009,95
03/04/2009,16
03/05/2009,0
03/06/2009,0
03/07/2009,0
03/08/2009,0
03/09/2009,0
03/10/2009,6
03/11/2009,0
03/12/2009,0
3/13/2009,0
3/14/2009,0
3/15/2009,0
3/16/2009,0
3/17/2009,0
3/18/2009,0
3/19/2009,0
3/20/2009,0
3/21/2009,0
3/22/2009,0
3/23/2009,0
3/24/2009,0
3/25/2009,0
3/26/2009,0
3/27/2009,0
3/28/2009,0
3/29/2009,0
3/30/2009,0
3/31/2009,3
04/01/2009,0
04/02/2009,0
04/03/2009,37
04/04/2009,3
04/05/2009,0
04/06/2009,0
04/07/2009,0
04/08/2009,0
04/09/2009,0
04/10/2009,0
04/11/2009,0
04/12/2009,0
4/13/2009,0
4/14/2009,0
4/15/2009,0
4/16/2009,0
4/17/2009,0
4/18/2009,2
4/19/2009,0
4/20/2009,0
4/21/2009,0
4/22/2009,0
4/23/2009,0
4/24/2009,0
4/25/2009,0
4/26/2009,0
4/27/2009,0
4/28/2009,0
4/29/2009,0
4/30/2009,0
05/01/2009,0
05/02/2009,0
05/03/2009,0
05/04/2009,0
05/05/2009,0
05/06/2009,0
05/07/2009,0
05/08/2009,0
05/09/2009,0
05/10/2009,0
05/11/2009,0
05/12/2009,0
5/13/2009,2
5/14/2009,0
5/15/2009,0
5/16/2009,0
5/17/2009,0
5/18/2009,0
5/19/2009,0
5/20/2009,0
5/21/2009,0
5/22/2009,0
5/23/2009,0
5/24/2009,0
5/25/2009,0
5/26/2009,5
5/27/2009,9
5/28/2009,0
5/29/2009,6
5/30/2009,1
5/31/2009,0
06/01/2009,0
06/02/2009,0
06/03/2009,0
06/04/2009,0
06/05/2009,0
06/06/2009,0
06/07/2009,0
06/08/2009,0
06/09/2009,0
06/10/2009,0
06/11/2009,0
06/12/2009,0
6/13/2009,0
6/14/2009,0
6/15/2009,7
6/16/2009,0
6/17/2009,0
6/18/2009,0
6/19/2009,0
6/20/2009,0.3
6/21/2009,0
6/22/2009,0
6/23/2009,0
6/24/2009,0
6/25/2009,0
6/26/2009,0
6/27/2009,0
6/28/2009,0
6/29/2009,0
6/30/2009,0
07/01/2009,0
07/02/2009,0
07/03/2009,0
07/04/2009,0
07/05/2009,0
07/06/2009,0
07/07/2009,0
07/08/2009,0
07/09/2009,0
07/10/2009,0
07/11/2009,0
07/12/2009,0
7/13/2009,0
7/14/2009,0
7/15/2009,0
7/16/2009,0
7/17/2009,0
7/18/2009,0
7/19/2009,0
7/20/2009,17
7/21/2009,31
7/22/2009,0
7/23/2009,0
7/24/2009,0
7/25/2009,0
7/26/2009,0
7/27/2009,0
7/28/2009,0
7/29/2009,0
7/30/2009,0
7/31/2009,0
08/01/2009,0
08/02/2009,0
08/03/2009,0
08/04/2009,0
08/05/2009,0
08/06/2009,0
08/07/2009,0
08/08/2009,0
08/09/2009,0
08/10/2009,0
08/11/2009,0
08/12/2009,0
8/13/2009,0
8/14/2009,0
8/15/2009,0
8/16/2009,0
8/17/2009,0
8/18/2009,0
8/19/2009,0.1
8/20/2009,0
8/21/2009,0
8/22/2009,0
8/23/2009,0
8/24/2009,0
8/25/2009,0
8/26/2009,0
8/27/2009,0
8/28/2009,0
8/29/2009,0
8/30/2009,0
8/31/2009,2
09/01/2009,12
09/02/2009,26
09/03/2009,4
09/04/2009,0
09/05/2009,0
09/06/2009,0
09/07/2009,0
09/08/2009,0
09/09/2009,0
09/10/2009,0
09/11/2009,0
09/12/2009,0
9/13/2009,0
9/14/2009,0
9/15/2009,0
9/16/2009,27
9/17/2009,34
9/18/2009,0
9/19/2009,0
9/20/2009,0
9/21/2009,0
9/22/2009,0.1
9/23/2009,0
9/24/2009,0
9/25/2009,0
9/26/2009,0.9
9/27/2009,6
9/28/2009,0
9/29/2009,0
9/30/2009,0
10/01/2009,0
10/02/2009,0
10/03/2009,0
10/04/2009,0
10/05/2009,0
10/06/2009,0
10/07/2009,0
10/08/2009,0
10/09/2009,0
10/10/2009,40
10/11/2009,0
10/12/2009,0
10/13/2009,0
10/14/2009,5
10/15/2009,0
10/16/2009,0
10/17/2009,0
10/18/2009,0
10/19/2009,0
10/20/2009,3
10/21/2009,0
10/22/2009,0
10/23/2009,15
10/24/2009,0
10/25/2009,0
10/26/2009,0
10/27/2009,0
10/28/2009,0
10/29/2009,0
10/30/2009,0
10/31/2009,0
11/01/2009,0
11/02/2009,30
11/03/2009,0
11/04/2009,0
11/05/2009,0
11/06/2009,27.1
11/07/2009,0
11/08/2009,0
11/09/2009,0
11/10/2009,0
11/11/2009,0
11/12/2009,0
11/13/2009,10.3
11/14/2009,0
11/15/2009,0
11/16/2009,0
11/17/2009,28
11/18/2009,18.8
11/19/2009,0
11/20/2009,3
11/21/2009,0.3
11/22/2009,64.6
11/23/2009,1.7
11/24/2009,0
11/25/2009,0
11/26/2009,5.2
11/27/2009,0
11/28/2009,0
11/29/2009,0.4
11/30/2009,0
12/01/2009,53
12/02/2009,0
12/03/2009,0
12/04/2009,0
12/05/2009,0
12/06/2009,0
12/07/2009,0
12/08/2009,0
12/09/2009,0
12/10/2009,32
12/11/2009,0.6
12/12/2009,0
12/13/2009,7
12/14/2009,0.4
12/15/2009,6
12/16/2009,13
12/17/2009,0
12/18/2009,9
12/19/2009,48.1
12/20/2009,0
12/21/2009,0
12/22/2009,33
12/23/2009,13
12/24/2009,15.5
12/25/2009,0
12/26/2009,3
12/27/2009,0
12/28/2009,27
12/29/2009,1
12/30/2009,0
12/31/2009,0
01/01/2010,12
01/02/2010,0
01/03/2010,0
01/04/2010,0
01/05/2010,19
01/06/2010,0
01/07/2010,0
01/08/2010,0
01/09/2010,25
01/10/2010,0
01/11/2010,21
01/12/2010,0
1/13/2010,0
1/14/2010,0
1/15/2010,0
1/16/2010,0
1/17/2010,0
1/18/2010,34
1/19/2010,0
1/20/2010,0
1/21/2010,0
1/22/2010,0
1/23/2010,0
1/24/2010,0
1/25/2010,0
1/26/2010,0
1/27/2010,0
1/28/2010,0
1/29/2010,0
1/30/2010,0
1/31/2010,3
02/01/2010,11
02/02/2010,6
02/03/2010,25
02/04/2010,6
02/05/2010,38
02/06/2010,13
02/07/2010,0
02/08/2010,0
02/09/2010,0
02/10/2010,0
02/11/2010,0
02/12/2010,0
2/13/2010,14
2/14/2010,0
2/15/2010,31
2/16/2010,0
2/17/2010,0
2/18/2010,0
2/19/2010,105
2/20/2010,10
2/21/2010,0.2
2/22/2010,0
2/23/2010,0
2/24/2010,0
2/25/2010,0
2/26/2010,0
