### obs_id,timestart,timeend,valor,timeupdate
818481,1/1/05 04:00,1/1/05 04:00,4.02,25:57.1
818493,1/2/05 04:00,1/2/05 04:00,4.02,25:57.1
818505,1/3/05 04:00,1/3/05 04:00,4.04,25:57.1
818517,1/4/05 04:00,1/4/05 04:00,4.04,25:57.1
818529,1/5/05 04:00,1/5/05 04:00,3.97,25:57.1
818541,1/6/05 04:00,1/6/05 04:00,3.97,25:57.1
818553,1/7/05 04:00,1/7/05 04:00,4,25:57.1
818565,1/8/05 04:00,1/8/05 04:00,4,25:57.1
818577,1/9/05 04:00,1/9/05 04:00,3.95,25:57.1
818589,1/10/05 04:00,1/10/05 04:00,3.92,25:57.1
818601,1/11/05 04:00,1/11/05 04:00,3.84,25:57.1
818613,1/12/05 04:00,1/12/05 04:00,3.75,25:57.1
818625,1/13/05 04:00,1/13/05 04:00,3.62,25:57.1
818637,1/14/05 04:00,1/14/05 04:00,3.65,25:57.1
818649,1/15/05 04:00,1/15/05 04:00,3.82,25:57.1
818661,1/16/05 04:00,1/16/05 04:00,3.88,25:57.1
818673,1/17/05 04:00,1/17/05 04:00,3.99,25:57.1
818685,1/18/05 04:00,1/18/05 04:00,3.99,25:57.1
818697,1/19/05 04:00,1/19/05 04:00,4.02,25:57.1
818709,1/20/05 04:00,1/20/05 04:00,4.04,25:57.1
818721,1/21/05 04:00,1/21/05 04:00,4.1,25:57.1
818733,1/22/05 04:00,1/22/05 04:00,4.18,25:57.1
818745,1/23/05 04:00,1/23/05 04:00,4.21,25:57.1
818757,1/24/05 04:00,1/24/05 04:00,4.24,25:57.1
818769,1/25/05 04:00,1/25/05 04:00,4.33,25:57.1
818781,1/26/05 04:00,1/26/05 04:00,4.35,25:57.1
818793,1/27/05 04:00,1/27/05 04:00,4.42,25:57.1
818805,1/28/05 04:00,1/28/05 04:00,4.53,25:57.1
818817,1/29/05 04:00,1/29/05 04:00,4.57,25:57.1
818828,1/30/05 04:00,1/30/05 04:00,4.66,25:57.1
818839,1/31/05 04:00,1/31/05 04:00,4.79,25:57.1
818482,2/1/05 04:00,2/1/05 04:00,4.87,25:57.1
818494,2/2/05 04:00,2/2/05 04:00,4.96,25:57.1
818506,2/3/05 04:00,2/3/05 04:00,5.03,25:57.1
818518,2/4/05 04:00,2/4/05 04:00,5.14,25:57.1
818530,2/5/05 04:00,2/5/05 04:00,5.2,25:57.1
818542,2/6/05 04:00,2/6/05 04:00,5.29,25:57.1
818554,2/7/05 04:00,2/7/05 04:00,5.3,25:57.1
818566,2/8/05 04:00,2/8/05 04:00,5.38,25:57.1
818578,2/9/05 04:00,2/9/05 04:00,5.43,25:57.1
818590,2/10/05 04:00,2/10/05 04:00,5.5,25:57.1
818602,2/11/05 04:00,2/11/05 04:00,5.5,25:57.1
818614,2/12/05 04:00,2/12/05 04:00,5.57,25:57.1
818626,2/13/05 04:00,2/13/05 04:00,5.57,25:57.1
818638,2/14/05 04:00,2/14/05 04:00,5.53,25:57.1
818650,2/15/05 04:00,2/15/05 04:00,5.48,25:57.1
818662,2/16/05 04:00,2/16/05 04:00,5.47,25:57.1
818674,2/17/05 04:00,2/17/05 04:00,5.4,25:57.1
818686,2/18/05 04:00,2/18/05 04:00,5.33,25:57.1
818698,2/19/05 04:00,2/19/05 04:00,5.23,25:57.1
818710,2/20/05 04:00,2/20/05 04:00,5.08,25:57.1
818722,2/21/05 04:00,2/21/05 04:00,4.9,25:57.1
818734,2/22/05 04:00,2/22/05 04:00,4.55,25:57.1
818746,2/23/05 04:00,2/23/05 04:00,4.31,25:57.1
818758,2/24/05 04:00,2/24/05 04:00,4.03,25:57.1
818770,2/25/05 04:00,2/25/05 04:00,3.87,25:57.1
818782,2/26/05 04:00,2/26/05 04:00,3.77,25:57.1
818794,2/27/05 04:00,2/27/05 04:00,3.68,25:57.1
818806,2/28/05 04:00,2/28/05 04:00,3.55,25:57.1
818483,3/1/05 12:00,3/1/05 12:00,3.47,25:57.1
818495,3/2/05 12:00,3/2/05 12:00,3.32,25:57.1
818507,3/3/05 12:00,3/3/05 12:00,3.16,25:57.1
818519,3/4/05 12:00,3/4/05 12:00,2.97,25:57.1
818531,3/5/05 12:00,3/5/05 12:00,2.87,25:57.1
818543,3/6/05 12:00,3/6/05 12:00,2.87,25:57.1
818555,3/7/05 12:00,3/7/05 12:00,3,25:57.1
818567,3/8/05 12:00,3/8/05 12:00,3.12,25:57.1
818579,3/9/05 12:00,3/9/05 12:00,3.08,25:57.1
818591,3/10/05 12:00,3/10/05 12:00,3.05,25:57.1
818603,3/11/05 12:00,3/11/05 12:00,2.97,25:57.1
818615,3/12/05 12:00,3/12/05 12:00,2.85,25:57.1
818627,3/13/05 12:00,3/13/05 12:00,2.66,25:57.1
818639,3/14/05 12:00,3/14/05 12:00,2.66,25:57.1
818651,3/15/05 12:00,3/15/05 12:00,2.9,25:57.1
818663,3/16/05 12:00,3/16/05 12:00,2.86,25:57.1
818675,3/17/05 12:00,3/17/05 12:00,2.8,25:57.1
818687,3/18/05 12:00,3/18/05 12:00,2.83,25:57.1
818699,3/19/05 12:00,3/19/05 12:00,2.93,25:57.1
818711,3/20/05 12:00,3/20/05 12:00,3.02,25:57.1
818723,3/21/05 12:00,3/21/05 12:00,3.2,25:57.1
818735,3/22/05 12:00,3/22/05 12:00,3.2,25:57.1
818747,3/23/05 12:00,3/23/05 12:00,3.05,25:57.1
818759,3/24/05 12:00,3/24/05 12:00,2.88,25:57.1
818771,3/25/05 12:00,3/25/05 12:00,2.74,25:57.1
818783,3/26/05 12:00,3/26/05 12:00,2.77,25:57.1
818795,3/27/05 12:00,3/27/05 12:00,2.8,25:57.1
818807,3/28/05 12:00,3/28/05 12:00,2.88,25:57.1
818818,3/29/05 12:00,3/29/05 12:00,2.75,25:57.1
818829,3/30/05 12:00,3/30/05 12:00,2.71,25:57.1
818840,3/31/05 12:00,3/31/05 12:00,2.64,25:57.1
818484,4/1/05 12:00,4/1/05 12:00,2.62,25:57.1
818496,4/2/05 12:00,4/2/05 12:00,2.59,25:57.1
818508,4/3/05 12:00,4/3/05 12:00,2.73,25:57.1
818520,4/4/05 12:00,4/4/05 12:00,2.92,25:57.1
818532,4/5/05 12:00,4/5/05 12:00,2.9,25:57.1
818544,4/6/05 12:00,4/6/05 12:00,2.7,25:57.1
818556,4/7/05 12:00,4/7/05 12:00,2.67,25:57.1
818568,4/8/05 12:00,4/8/05 12:00,2.8,25:57.1
818580,4/9/05 12:00,4/9/05 12:00,3.24,25:57.1
818592,4/10/05 12:00,4/10/05 12:00,3.62,25:57.1
818604,4/11/05 12:00,4/11/05 12:00,3.65,25:57.1
818616,4/12/05 12:00,4/12/05 12:00,3.66,25:57.1
818628,4/13/05 12:00,4/13/05 12:00,3.8,25:57.1
818640,4/14/05 12:00,4/14/05 12:00,3.91,25:57.1
818652,4/15/05 12:00,4/15/05 12:00,3.91,25:57.1
818664,4/16/05 12:00,4/16/05 12:00,3.81,25:57.1
818676,4/17/05 12:00,4/17/05 12:00,3.85,25:57.1
818688,4/18/05 12:00,4/18/05 12:00,3.85,25:57.1
818700,4/19/05 12:00,4/19/05 12:00,3.66,25:57.1
818712,4/20/05 12:00,4/20/05 12:00,3.57,25:57.1
818724,4/21/05 12:00,4/21/05 12:00,3.28,25:57.1
818736,4/22/05 12:00,4/22/05 12:00,3.19,25:57.1
818748,4/23/05 12:00,4/23/05 12:00,3.31,25:57.1
818760,4/24/05 12:00,4/24/05 12:00,3.41,25:57.1
818772,4/25/05 12:00,4/25/05 12:00,3.45,25:57.1
818784,4/26/05 12:00,4/26/05 12:00,3.45,25:57.1
818796,4/27/05 12:00,4/27/05 12:00,3.25,25:57.1
818808,4/28/05 12:00,4/28/05 12:00,3.17,25:57.1
