### obs_id,timestart,timeend,valor,timeupdate
1416045,1/1/05 04:00,1/1/05 04:00,4.64,25:57.1
1416057,1/2/05 04:00,1/2/05 04:00,4.58,25:57.1
1416069,1/3/05 04:00,1/3/05 04:00,4.54,25:57.1
1416081,1/4/05 04:00,1/4/05 04:00,4.51,25:57.1
1416093,1/5/05 04:00,1/5/05 04:00,4.5,25:57.1
1416105,1/6/05 04:00,1/6/05 04:00,4.47,25:57.1
1416117,1/7/05 04:00,1/7/05 04:00,4.43,25:57.1
1416129,1/8/05 04:00,1/8/05 04:00,4.4,25:57.1
1416141,1/9/05 04:00,1/9/05 04:00,4.37,25:57.1
1416153,1/10/05 04:00,1/10/05 04:00,4.36,25:57.1
1416165,1/11/05 04:00,1/11/05 04:00,4.34,25:57.1
1416177,1/12/05 04:00,1/12/05 04:00,4.31,25:57.1
1416189,1/13/05 04:00,1/13/05 04:00,4.29,25:57.1
1416201,1/14/05 04:00,1/14/05 04:00,4.23,25:57.1
1416213,1/15/05 04:00,1/15/05 04:00,4.15,25:57.1
1416225,1/16/05 04:00,1/16/05 04:00,4.14,25:57.1
1416237,1/17/05 04:00,1/17/05 04:00,4.13,25:57.1
1416249,1/18/05 04:00,1/18/05 04:00,4.16,25:57.1
1416261,1/19/05 04:00,1/19/05 04:00,4.18,25:57.1
1416273,1/20/05 04:00,1/20/05 04:00,4.19,25:57.1
1416285,1/21/05 04:00,1/21/05 04:00,4.21,25:57.1
1416297,1/22/05 04:00,1/22/05 04:00,4.21,25:57.1
1416309,1/23/05 04:00,1/23/05 04:00,4.26,25:57.1
1416321,1/24/05 04:00,1/24/05 04:00,4.29,25:57.1
1416333,1/25/05 04:00,1/25/05 04:00,4.31,25:57.1
1416345,1/26/05 04:00,1/26/05 04:00,4.31,25:57.1
1416357,1/27/05 04:00,1/27/05 04:00,4.38,25:57.1
1416369,1/28/05 04:00,1/28/05 04:00,4.41,25:57.1
1416381,1/29/05 04:00,1/29/05 04:00,4.45,25:57.1
