### obs_id,timestart,timeend,valor,timeupdate
157195,1/1/05 04:00,1/1/05 04:00,3.68,25:57.1
157207,1/2/05 04:00,1/2/05 04:00,3.67,25:57.1
157219,1/3/05 04:00,1/3/05 04:00,3.6,25:57.1
157231,1/4/05 04:00,1/4/05 04:00,3.56,25:57.1
157243,1/5/05 04:00,1/5/05 04:00,3.53,25:57.1
157261,1/6/05 04:00,1/6/05 04:00,3.52,25:57.1
157273,1/7/05 04:00,1/7/05 04:00,3.47,25:57.1
157285,1/8/05 04:00,1/8/05 04:00,3.45,25:57.1
157297,1/9/05 04:00,1/9/05 04:00,3.41,25:57.1
157308,1/10/05 04:00,1/10/05 04:00,3.42,25:57.1
157320,1/11/05 04:00,1/11/05 04:00,3.4,25:57.1
157332,1/12/05 04:00,1/12/05 04:00,3.37,25:57.1
157344,1/13/05 04:00,1/13/05 04:00,3.35,25:57.1
157356,1/14/05 04:00,1/14/05 04:00,3.3,25:57.1
157368,1/15/05 04:00,1/15/05 04:00,3.28,25:57.1
157386,1/16/05 04:00,1/16/05 04:00,3.22,25:57.1
157398,1/17/05 04:00,1/17/05 04:00,3.2,25:57.1
157410,1/18/05 04:00,1/18/05 04:00,3.17,25:57.1
157421,1/19/05 04:00,1/19/05 04:00,3.16,25:57.1
157433,1/20/05 04:00,1/20/05 04:00,3.14,25:57.1
157445,1/21/05 04:00,1/21/05 04:00,3.13,25:57.1
157457,1/22/05 04:00,1/22/05 04:00,3.12,25:57.1
157469,1/23/05 04:00,1/23/05 04:00,3.14,25:57.1
157481,1/24/05 04:00,1/24/05 04:00,3.16,25:57.1
157499,1/25/05 04:00,1/25/05 04:00,3.15,25:57.1
157511,1/26/05 04:00,1/26/05 04:00,3.15,25:57.1
157523,1/27/05 04:00,1/27/05 04:00,3.18,25:57.1
157535,1/28/05 04:00,1/28/05 04:00,3.19,25:57.1
157547,1/29/05 04:00,1/29/05 04:00,3.22,25:57.1
157558,1/30/05 04:00,1/30/05 04:00,3.24,25:57.1
157569,1/31/05 04:00,1/31/05 04:00,3.32,25:57.1
157196,2/1/05 04:00,2/1/05 04:00,3.39,25:57.1
157208,2/2/05 04:00,2/2/05 04:00,3.42,25:57.1
157220,2/3/05 04:00,2/3/05 04:00,3.46,25:57.1
157232,2/4/05 04:00,2/4/05 04:00,3.48,25:57.1
157244,2/5/05 04:00,2/5/05 04:00,3.52,25:57.1
157262,2/6/05 04:00,2/6/05 04:00,3.57,25:57.1
157274,2/7/05 04:00,2/7/05 04:00,3.61,25:57.1
157286,2/8/05 04:00,2/8/05 04:00,3.82,25:57.1
157298,2/9/05 04:00,2/9/05 04:00,3.93,25:57.1
157309,2/10/05 04:00,2/10/05 04:00,3.97,25:57.1
157321,2/11/05 04:00,2/11/05 04:00,4.02,25:57.1
157333,2/12/05 04:00,2/12/05 04:00,4.04,25:57.1
157345,2/13/05 04:00,2/13/05 04:00,4.09,25:57.1
157357,2/14/05 04:00,2/14/05 04:00,4.13,25:57.1
157369,2/15/05 04:00,2/15/05 04:00,4.15,25:57.1
157387,2/16/05 04:00,2/16/05 04:00,4.18,25:57.1
157399,2/17/05 04:00,2/17/05 04:00,4.2,25:57.1
157411,2/18/05 04:00,2/18/05 04:00,4.2,25:57.1
157422,2/19/05 04:00,2/19/05 04:00,4.2,25:57.1
157434,2/20/05 04:00,2/20/05 04:00,4.2,25:57.1
157446,2/21/05 04:00,2/21/05 04:00,4.2,25:57.1
157458,2/22/05 04:00,2/22/05 04:00,4.2,25:57.1
157470,2/23/05 04:00,2/23/05 04:00,4.2,25:57.1
157482,2/24/05 04:00,2/24/05 04:00,4.2,25:57.1
157500,2/25/05 04:00,2/25/05 04:00,4.2,25:57.1
157512,2/26/05 04:00,2/26/05 04:00,4.19,25:57.1
157524,2/27/05 04:00,2/27/05 04:00,4.14,25:57.1
157536,2/28/05 04:00,2/28/05 04:00,4.09,25:57.1
157197,3/1/05 12:00,3/1/05 12:00,4.02,25:57.1
157209,3/2/05 12:00,3/2/05 12:00,3.92,25:57.1
157221,3/3/05 12:00,3/3/05 12:00,3.89,25:57.1
157233,3/4/05 12:00,3/4/05 12:00,3.76,25:57.1
157245,3/5/05 12:00,3/5/05 12:00,3.68,25:57.1
157263,3/6/05 12:00,3/6/05 12:00,3.55,25:57.1
157275,3/7/05 12:00,3/7/05 12:00,3.4,25:57.1
157287,3/8/05 12:00,3/8/05 12:00,3.29,25:57.1
157299,3/9/05 12:00,3/9/05 12:00,3.22,25:57.1
157310,3/10/05 12:00,3/10/05 12:00,3.1,25:57.1
157322,3/11/05 12:00,3/11/05 12:00,3.05,25:57.1
157334,3/12/05 12:00,3/12/05 12:00,2.98,25:57.1
157346,3/13/05 12:00,3/13/05 12:00,3.2,25:57.1
157358,3/14/05 12:00,3/14/05 12:00,3.34,25:57.1
157370,3/15/05 12:00,3/15/05 12:00,3.22,25:57.1
157388,3/16/05 12:00,3/16/05 12:00,3.18,25:57.1
157400,3/17/05 12:00,3/17/05 12:00,3.12,25:57.1
157412,3/18/05 12:00,3/18/05 12:00,3.06,25:57.1
157423,3/19/05 12:00,3/19/05 12:00,3.02,25:57.1
157435,3/20/05 12:00,3/20/05 12:00,2.96,25:57.1
157447,3/21/05 12:00,3/21/05 12:00,2.87,25:57.1
157459,3/22/05 12:00,3/22/05 12:00,2.86,25:57.1
157471,3/23/05 12:00,3/23/05 12:00,2.84,25:57.1
157483,3/24/05 12:00,3/24/05 12:00,2.81,25:57.1
157501,3/25/05 12:00,3/25/05 12:00,2.78,25:57.1
157513,3/26/05 12:00,3/26/05 12:00,2.72,25:57.1
157525,3/27/05 12:00,3/27/05 12:00,2.65,25:57.1
157537,3/28/05 12:00,3/28/05 12:00,2.58,25:57.1
157548,3/29/05 12:00,3/29/05 12:00,2.5,25:57.1
157559,3/30/05 12:00,3/30/05 12:00,2.52,25:57.1
157570,3/31/05 12:00,3/31/05 12:00,2.52,25:57.1
157198,4/1/05 12:00,4/1/05 12:00,2.52,25:57.1
157210,4/2/05 12:00,4/2/05 12:00,2.5,25:57.1
157222,4/3/05 12:00,4/3/05 12:00,2.4,25:57.1
157234,4/4/05 12:00,4/4/05 12:00,2.33,25:57.1
157246,4/5/05 12:00,4/5/05 12:00,2.3,25:57.1
157264,4/6/05 12:00,4/6/05 12:00,2.3,25:57.1
157276,4/7/05 12:00,4/7/05 12:00,2.32,25:57.1
157288,4/8/05 12:00,4/8/05 12:00,2.26,25:57.1
157300,4/9/05 12:00,4/9/05 12:00,2.27,25:57.1
157311,4/10/05 12:00,4/10/05 12:00,2.25,25:57.1
157323,4/11/05 12:00,4/11/05 12:00,2.26,25:57.1
157335,4/12/05 12:00,4/12/05 12:00,2.76,25:57.1
157347,4/13/05 12:00,4/13/05 12:00,2.86,25:57.1
157359,4/14/05 12:00,4/14/05 12:00,2.94,25:57.1
157371,4/15/05 12:00,4/15/05 12:00,3.06,25:57.1
157389,4/16/05 12:00,4/16/05 12:00,3.08,25:57.1
157401,4/17/05 12:00,4/17/05 12:00,3.07,25:57.1
157413,4/18/05 12:00,4/18/05 12:00,3.1,25:57.1
157424,4/19/05 12:00,4/19/05 12:00,3.11,25:57.1
157436,4/20/05 12:00,4/20/05 12:00,3.13,25:57.1
157448,4/21/05 12:00,4/21/05 12:00,3.12,25:57.1
157460,4/22/05 12:00,4/22/05 12:00,3.12,25:57.1
157472,4/23/05 12:00,4/23/05 12:00,3.07,25:57.1
157484,4/24/05 12:00,4/24/05 12:00,3.04,25:57.1
157502,4/25/05 12:00,4/25/05 12:00,2.99,25:57.1
157514,4/26/05 12:00,4/26/05 12:00,2.92,25:57.1
157526,4/27/05 12:00,4/27/05 12:00,2.9,25:57.1
157538,4/28/05 12:00,4/28/05 12:00,2.9,25:57.1
157549,4/29/05 12:00,4/29/05 12:00,2.9,25:57.1
157560,4/30/05 12:00,4/30/05 12:00,2.85,25:57.1
157199,5/1/05 12:00,5/1/05 12:00,2.82,25:57.1
157211,5/2/05 12:00,5/2/05 12:00,2.79,25:57.1
157223,5/3/05 12:00,5/3/05 12:00,2.76,25:57.1
157235,5/4/05 12:00,5/4/05 12:00,2.74,25:57.1
157247,5/5/05 12:00,5/5/05 12:00,2.71,25:57.1
157265,5/6/05 12:00,5/6/05 12:00,2.68,25:57.1
157277,5/7/05 12:00,5/7/05 12:00,2.6,25:57.1
157289,5/8/05 12:00,5/8/05 12:00,2.54,25:57.1
157301,5/9/05 12:00,5/9/05 12:00,2.52,25:57.1
157312,5/10/05 12:00,5/10/05 12:00,2.52,25:57.1
157324,5/11/05 12:00,5/11/05 12:00,2.51,25:57.1
157336,5/12/05 12:00,5/12/05 12:00,2.5,25:57.1
157348,5/13/05 12:00,5/13/05 12:00,2.5,25:57.1
157360,5/14/05 12:00,5/14/05 12:00,2.48,25:57.1
157378,5/15/05 12:00,5/15/05 12:00,2.46,25:57.1
157390,5/16/05 12:00,5/16/05 12:00,2.43,25:57.1
157402,5/17/05 12:00,5/17/05 12:00,2.45,25:57.1
157414,5/18/05 12:00,5/18/05 12:00,2.44,25:57.1
157425,5/19/05 12:00,5/19/05 12:00,2.48,25:57.1
157437,5/20/05 12:00,5/20/05 12:00,2.51,25:57.1
157449,5/21/05 12:00,5/21/05 12:00,2.52,25:57.1
157461,5/22/05 12:00,5/22/05 12:00,2.54,25:57.1
157473,5/23/05 12:00,5/23/05 12:00,2.59,25:57.1
157485,5/24/05 12:00,5/24/05 12:00,2.64,25:57.1
157503,5/25/05 12:00,5/25/05 12:00,2.69,25:57.1
157515,5/26/05 12:00,5/26/05 12:00,2.76,25:57.1
157527,5/27/05 12:00,5/27/05 12:00,2.83,25:57.1
157539,5/28/05 12:00,5/28/05 12:00,2.88,25:57.1
157550,5/29/05 12:00,5/29/05 12:00,2.94,25:57.1
157561,5/30/05 12:00,5/30/05 12:00,2.97,25:57.1
157571,5/31/05 12:00,5/31/05 12:00,3,25:57.1
157200,6/1/05 12:00,6/1/05 12:00,3.02,25:57.1
157212,6/2/05 12:00,6/2/05 12:00,3.03,25:57.1
157224,6/3/05 12:00,6/3/05 12:00,3.02,25:57.1
157236,6/4/05 12:00,6/4/05 12:00,3,25:57.1
157248,6/5/05 12:00,6/5/05 12:00,3.01,25:57.1
157266,6/6/05 12:00,6/6/05 12:00,3.06,25:57.1
157278,6/7/05 12:00,6/7/05 12:00,3.09,25:57.1
157290,6/8/05 12:00,6/8/05 12:00,3.12,25:57.1
157302,6/9/05 12:00,6/9/05 12:00,3.14,25:57.1
157313,6/10/05 12:00,6/10/05 12:00,3.13,25:57.1
157325,6/11/05 12:00,6/11/05 12:00,3.08,25:57.1
157337,6/12/05 12:00,6/12/05 12:00,3.01,25:57.1
157349,6/13/05 12:00,6/13/05 12:00,2.98,25:57.1
157361,6/14/05 12:00,6/14/05 12:00,2.9,25:57.1
157379,6/15/05 12:00,6/15/05 12:00,2.87,25:57.1
157391,6/16/05 12:00,6/16/05 12:00,2.84,25:57.1
157403,6/17/05 12:00,6/17/05 12:00,2.81,25:57.1
157415,6/18/05 12:00,6/18/05 12:00,2.79,25:57.1
157426,6/19/05 12:00,6/19/05 12:00,2.76,25:57.1
157438,6/20/05 12:00,6/20/05 12:00,2.74,25:57.1
