### obs_id,timestart,timeend,valor,timeupdate
679906,1/1/05 04:00,1/1/05 04:00,3.72,25:57.1
679918,1/2/05 04:00,1/2/05 04:00,3.7,25:57.1
679930,1/3/05 04:00,1/3/05 04:00,3.67,25:57.1
679942,1/4/05 04:00,1/4/05 04:00,3.66,25:57.1
679954,1/5/05 04:00,1/5/05 04:00,3.65,25:57.1
679966,1/6/05 04:00,1/6/05 04:00,3.63,25:57.1
679980,1/7/05 04:00,1/7/05 04:00,3.61,25:57.1
679992,1/8/05 04:00,1/8/05 04:00,3.58,25:57.1
680004,1/9/05 04:00,1/9/05 04:00,3.57,25:57.1
680016,1/10/05 04:00,1/10/05 04:00,3.55,25:57.1
680028,1/11/05 04:00,1/11/05 04:00,3.55,25:57.1
680040,1/12/05 04:00,1/12/05 04:00,3.58,25:57.1
680052,1/13/05 04:00,1/13/05 04:00,3.55,25:57.1
680064,1/14/05 04:00,1/14/05 04:00,3.5,25:57.1
680076,1/15/05 04:00,1/15/05 04:00,3.48,25:57.1
680088,1/16/05 04:00,1/16/05 04:00,3.49,25:57.1
680100,1/17/05 04:00,1/17/05 04:00,3.44,25:57.1
680112,1/18/05 04:00,1/18/05 04:00,3.42,25:57.1
680124,1/19/05 04:00,1/19/05 04:00,3.38,25:57.1
680138,1/20/05 04:00,1/20/05 04:00,3.38,25:57.1
680150,1/21/05 04:00,1/21/05 04:00,3.32,25:57.1
680162,1/22/05 04:00,1/22/05 04:00,3.32,25:57.1
680174,1/23/05 04:00,1/23/05 04:00,3.31,25:57.1
680186,1/24/05 04:00,1/24/05 04:00,3.24,25:57.1
680198,1/25/05 04:00,1/25/05 04:00,3.2,25:57.1
680210,1/26/05 04:00,1/26/05 04:00,3.16,25:57.1
680222,1/27/05 04:00,1/27/05 04:00,3.24,25:57.1
680234,1/28/05 04:00,1/28/05 04:00,3.25,25:57.1
680246,1/29/05 04:00,1/29/05 04:00,3.24,25:57.1
680257,1/30/05 04:00,1/30/05 04:00,3.22,25:57.1
680268,1/31/05 04:00,1/31/05 04:00,3.24,25:57.1
679907,2/1/05 04:00,2/1/05 04:00,3.28,25:57.1
679919,2/2/05 04:00,2/2/05 04:00,3.43,25:57.1
679931,2/3/05 04:00,2/3/05 04:00,3.5,25:57.1
679943,2/4/05 04:00,2/4/05 04:00,3.52,25:57.1
679955,2/5/05 04:00,2/5/05 04:00,3.52,25:57.1
679967,2/6/05 04:00,2/6/05 04:00,3.54,25:57.1
679981,2/7/05 04:00,2/7/05 04:00,3.55,25:57.1
679993,2/8/05 04:00,2/8/05 04:00,3.58,25:57.1
680005,2/9/05 04:00,2/9/05 04:00,3.64,25:57.1
680017,2/10/05 04:00,2/10/05 04:00,3.7,25:57.1
680029,2/11/05 04:00,2/11/05 04:00,3.73,25:57.1
680041,2/12/05 04:00,2/12/05 04:00,3.8,25:57.1
680053,2/13/05 04:00,2/13/05 04:00,3.85,25:57.1
680065,2/14/05 04:00,2/14/05 04:00,3.9,25:57.1
680077,2/15/05 04:00,2/15/05 04:00,3.94,25:57.1
680089,2/16/05 04:00,2/16/05 04:00,4,25:57.1
680101,2/17/05 04:00,2/17/05 04:00,4,25:57.1
680113,2/18/05 04:00,2/18/05 04:00,4.01,25:57.1
680125,2/19/05 04:00,2/19/05 04:00,4.05,25:57.1
680139,2/20/05 04:00,2/20/05 04:00,4.07,25:57.1
680151,2/21/05 04:00,2/21/05 04:00,4.07,25:57.1
680163,2/22/05 04:00,2/22/05 04:00,4.1,25:57.1
680175,2/23/05 04:00,2/23/05 04:00,4.09,25:57.1
680187,2/24/05 04:00,2/24/05 04:00,4.12,25:57.1
680199,2/25/05 04:00,2/25/05 04:00,4.1,25:57.1
680211,2/26/05 04:00,2/26/05 04:00,4.1,25:57.1
680223,2/27/05 04:00,2/27/05 04:00,4.1,25:57.1
680235,2/28/05 04:00,2/28/05 04:00,4.1,25:57.1
679908,3/1/05 12:00,3/1/05 12:00,4.11,25:57.1
679920,3/2/05 12:00,3/2/05 12:00,4.12,25:57.1
679932,3/3/05 12:00,3/3/05 12:00,4.1,25:57.1
679944,3/4/05 12:00,3/4/05 12:00,4.06,25:57.1
679956,3/5/05 12:00,3/5/05 12:00,4.02,25:57.1
679968,3/6/05 12:00,3/6/05 12:00,3.95,25:57.1
679982,3/7/05 12:00,3/7/05 12:00,3.88,25:57.1
679994,3/8/05 12:00,3/8/05 12:00,3.8,25:57.1
680006,3/9/05 12:00,3/9/05 12:00,3.7,25:57.1
680018,3/10/05 12:00,3/10/05 12:00,3.69,25:57.1
680030,3/11/05 12:00,3/11/05 12:00,3.63,25:57.1
680042,3/12/05 12:00,3/12/05 12:00,3.5,25:57.1
680054,3/13/05 12:00,3/13/05 12:00,3.5,25:57.1
680066,3/14/05 12:00,3/14/05 12:00,3.53,25:57.1
680078,3/15/05 12:00,3/15/05 12:00,3.5,25:57.1
680090,3/16/05 12:00,3/16/05 12:00,3.5,25:57.1
680102,3/17/05 12:00,3/17/05 12:00,3.5,25:57.1
680114,3/18/05 12:00,3/18/05 12:00,3.45,25:57.1
680126,3/19/05 12:00,3/19/05 12:00,3.4,25:57.1
680140,3/20/05 12:00,3/20/05 12:00,3.4,25:57.1
680152,3/21/05 12:00,3/21/05 12:00,3.4,25:57.1
680164,3/22/05 12:00,3/22/05 12:00,3.32,25:57.1
