### obs_id,timestart,timeend,valor,timeupdate
969901,1/1/05 04:00,1/1/05 04:00,3.46,25:57.1
969911,1/2/05 04:00,1/2/05 04:00,1.64,25:57.1
969920,1/3/05 04:00,1/3/05 04:00,2.28,25:57.1
969929,1/4/05 04:00,1/4/05 04:00,1.6,25:57.1
969939,1/5/05 04:00,1/5/05 04:00,1.24,25:57.1
2125130,1/6/05 04:00,1/6/05 04:00,0.88,25:57.1
969958,1/7/05 04:00,1/7/05 04:00,0.8,25:57.1
969968,1/8/05 04:00,1/8/05 04:00,0.8,25:57.1
969977,1/9/05 04:00,1/9/05 04:00,1,25:57.1
969987,1/10/05 04:00,1/10/05 04:00,0.6,25:57.1
2125142,1/11/05 04:00,1/11/05 04:00,1,25:57.1
970006,1/12/05 04:00,1/12/05 04:00,0.9,25:57.1
970016,1/13/05 04:00,1/13/05 04:00,0.64,25:57.1
970025,1/14/05 04:00,1/14/05 04:00,1.04,25:57.1
970035,1/15/05 04:00,1/15/05 04:00,1.2,25:57.1
2125154,1/16/05 04:00,1/16/05 04:00,1.15,25:57.1
2125158,1/17/05 04:00,1/17/05 04:00,1.4,25:57.1
970063,1/18/05 04:00,1/18/05 04:00,0.9,25:57.1
970073,1/19/05 04:00,1/19/05 04:00,1.2,25:57.1
970082,1/20/05 04:00,1/20/05 04:00,1.08,25:57.1
970092,1/21/05 04:00,1/21/05 04:00,1.26,25:57.1
2125170,1/22/05 04:00,1/22/05 04:00,0.84,25:57.1
970111,1/23/05 04:00,1/23/05 04:00,1.06,25:57.1
970121,1/24/05 04:00,1/24/05 04:00,0.86,25:57.1
970130,1/25/05 04:00,1/25/05 04:00,1.08,25:57.1
970140,1/26/05 04:00,1/26/05 04:00,1.24,25:57.1
2125182,1/27/05 04:00,1/27/05 04:00,1.1,25:57.1
970159,1/28/05 04:00,1/28/05 04:00,0.9,25:57.1
970169,1/29/05 04:00,1/29/05 04:00,0.84,25:57.1
970177,1/30/05 04:00,1/30/05 04:00,0.9,25:57.1
970186,1/31/05 04:00,1/31/05 04:00,1,25:57.1
969902,2/1/05 04:00,2/1/05 04:00,2.24,25:57.1
2125119,2/2/05 04:00,2/2/05 04:00,2.08,25:57.1
969921,2/3/05 04:00,2/3/05 04:00,1.5,25:57.1
969930,2/4/05 04:00,2/4/05 04:00,1.25,25:57.1
969940,2/5/05 04:00,2/5/05 04:00,1.6,25:57.1
969949,2/6/05 04:00,2/6/05 04:00,1.96,25:57.1
969959,2/7/05 04:00,2/7/05 04:00,1.34,25:57.1
2125135,2/8/05 04:00,2/8/05 04:00,0.98,25:57.1
969978,2/9/05 04:00,2/9/05 04:00,1.1,25:57.1
969988,2/10/05 04:00,2/10/05 04:00,1.24,25:57.1
969997,2/11/05 04:00,2/11/05 04:00,1.3,25:57.1
970007,2/12/05 04:00,2/12/05 04:00,1.55,25:57.1
2125147,2/13/05 04:00,2/13/05 04:00,1.78,25:57.1
970026,2/14/05 04:00,2/14/05 04:00,1.22,25:57.1
970036,2/15/05 04:00,2/15/05 04:00,1.76,25:57.1
970045,2/16/05 04:00,2/16/05 04:00,1,25:57.1
970054,2/17/05 04:00,2/17/05 04:00,1.22,25:57.1
970064,2/18/05 04:00,2/18/05 04:00,0.9,25:57.1
2125163,2/19/05 04:00,2/19/05 04:00,1.7,25:57.1
970083,2/20/05 04:00,2/20/05 04:00,1.2,25:57.1
970093,2/21/05 04:00,2/21/05 04:00,0.9,25:57.1
970102,2/22/05 04:00,2/22/05 04:00,1.2,25:57.1
970112,2/23/05 04:00,2/23/05 04:00,1.9,25:57.1
2125175,2/24/05 04:00,2/24/05 04:00,1.3,25:57.1
970131,2/25/05 04:00,2/25/05 04:00,1,25:57.1
970141,2/26/05 04:00,2/26/05 04:00,1.2,25:57.1
970150,2/27/05 04:00,2/27/05 04:00,1.5,25:57.1
970160,2/28/05 04:00,2/28/05 04:00,1.34,25:57.1
969903,3/1/05 12:00,3/1/05 12:00,1.16,25:57.1
969912,3/2/05 12:00,3/2/05 12:00,1.24,25:57.1
969922,3/3/05 12:00,3/3/05 12:00,0.9,25:57.1
969931,3/4/05 12:00,3/4/05 12:00,0.72,25:57.1
2125128,3/5/05 12:00,3/5/05 12:00,0.8,25:57.1
969950,3/6/05 12:00,3/6/05 12:00,0.85,25:57.1
969960,3/7/05 12:00,3/7/05 12:00,1.3,25:57.1
969969,3/8/05 12:00,3/8/05 12:00,0.8,25:57.1
969979,3/9/05 12:00,3/9/05 12:00,0.8,25:57.1
2125140,3/10/05 12:00,3/10/05 12:00,0.84,25:57.1
969998,3/11/05 12:00,3/11/05 12:00,0.86,25:57.1
970008,3/12/05 12:00,3/12/05 12:00,1,25:57.1
970017,3/13/05 12:00,3/13/05 12:00,1,25:57.1
970027,3/14/05 12:00,3/14/05 12:00,1.14,25:57.1
2125152,3/15/05 12:00,3/15/05 12:00,1.16,25:57.1
970046,3/16/05 12:00,3/16/05 12:00,1,25:57.1
970055,3/17/05 12:00,3/17/05 12:00,1.16,25:57.1
970065,3/18/05 12:00,3/18/05 12:00,1.2,25:57.1
970074,3/19/05 12:00,3/19/05 12:00,1.2,25:57.1
970084,3/20/05 12:00,3/20/05 12:00,1.3,25:57.1
2125168,3/21/05 12:00,3/21/05 12:00,0.86,25:57.1
970103,3/22/05 12:00,3/22/05 12:00,0.68,25:57.1
970113,3/23/05 12:00,3/23/05 12:00,1,25:57.1
970122,3/24/05 12:00,3/24/05 12:00,1,25:57.1
970132,3/25/05 12:00,3/25/05 12:00,0.84,25:57.1
2125180,3/26/05 12:00,3/26/05 12:00,0.64,25:57.1
970151,3/27/05 12:00,3/27/05 12:00,0.8,25:57.1
970161,3/28/05 12:00,3/28/05 12:00,0.54,25:57.1
2125187,3/29/05 12:00,3/29/05 12:00,0.9,25:57.1
970178,3/30/05 12:00,3/30/05 12:00,0.94,25:57.1
2125193,3/31/05 12:00,3/31/05 12:00,1.26,25:57.1
2125117,4/1/05 12:00,4/1/05 12:00,1,25:57.1
969913,4/2/05 12:00,4/2/05 12:00,1,25:57.1
969923,4/3/05 12:00,4/3/05 12:00,1.22,25:57.1
969932,4/4/05 12:00,4/4/05 12:00,1.18,25:57.1
969941,4/5/05 12:00,4/5/05 12:00,1.2,25:57.1
969951,4/6/05 12:00,4/6/05 12:00,1.5,25:57.1
2125133,4/7/05 12:00,4/7/05 12:00,1.24,25:57.1
969970,4/8/05 12:00,4/8/05 12:00,1.98,25:57.1
969980,4/9/05 12:00,4/9/05 12:00,1.6,25:57.1
969989,4/10/05 12:00,4/10/05 12:00,2.16,25:57.1
969999,4/11/05 12:00,4/11/05 12:00,2.4,25:57.1
2125145,4/12/05 12:00,4/12/05 12:00,3.7,25:57.1
970018,4/13/05 12:00,4/13/05 12:00,3.9,25:57.1
970028,4/14/05 12:00,4/14/05 12:00,4,25:57.1
970037,4/15/05 12:00,4/15/05 12:00,4.7,25:57.1
970047,4/16/05 12:00,4/16/05 12:00,4.08,25:57.1
970056,4/17/05 12:00,4/17/05 12:00,3.75,25:57.1
2125161,4/18/05 12:00,4/18/05 12:00,2.7,25:57.1
970075,4/19/05 12:00,4/19/05 12:00,3.6,25:57.1
970085,4/20/05 12:00,4/20/05 12:00,3.12,25:57.1
970094,4/21/05 12:00,4/21/05 12:00,3.1,25:57.1
970104,4/22/05 12:00,4/22/05 12:00,3.22,25:57.1
2125173,4/23/05 12:00,4/23/05 12:00,3.36,25:57.1
970123,4/24/05 12:00,4/24/05 12:00,3.4,25:57.1
970133,4/25/05 12:00,4/25/05 12:00,2.6,25:57.1
970142,4/26/05 12:00,4/26/05 12:00,4.2,25:57.1
970152,4/27/05 12:00,4/27/05 12:00,3.8,25:57.1
2125185,4/28/05 12:00,4/28/05 12:00,6.25,25:57.1
970170,4/29/05 12:00,4/29/05 12:00,5.2,25:57.1
2125191,4/30/05 12:00,4/30/05 12:00,4.4,25:57.1
969904,5/1/05 12:00,5/1/05 12:00,2.64,25:57.1
969914,5/2/05 12:00,5/2/05 12:00,2.1,25:57.1
2125122,5/3/05 12:00,5/3/05 12:00,2.5,25:57.1
2125126,5/4/05 12:00,5/4/05 12:00,2.74,25:57.1
969942,5/5/05 12:00,5/5/05 12:00,2.48,25:57.1
969952,5/6/05 12:00,5/6/05 12:00,2.78,25:57.1
969961,5/7/05 12:00,5/7/05 12:00,5.34,25:57.1
969971,5/8/05 12:00,5/8/05 12:00,4.2,25:57.1
2125138,5/9/05 12:00,5/9/05 12:00,3.4,25:57.1
969990,5/10/05 12:00,5/10/05 12:00,3.6,25:57.1
970000,5/11/05 12:00,5/11/05 12:00,4.2,25:57.1
970009,5/12/05 12:00,5/12/05 12:00,4.52,25:57.1
970019,5/13/05 12:00,5/13/05 12:00,6.4,25:57.1
2125150,5/14/05 12:00,5/14/05 12:00,7.25,25:57.1
970038,5/15/05 12:00,5/15/05 12:00,7.74,25:57.1
970048,5/16/05 12:00,5/16/05 12:00,8.32,25:57.1
970057,5/17/05 12:00,5/17/05 12:00,9.1,25:57.1
970066,5/18/05 12:00,5/18/05 12:00,8.78,25:57.1
970076,5/19/05 12:00,5/19/05 12:00,8.6,25:57.1
2125166,5/20/05 12:00,5/20/05 12:00,8.37,25:57.1
970095,5/21/05 12:00,5/21/05 12:00,9.08,25:57.1
970105,5/22/05 12:00,5/22/05 12:00,9.78,25:57.1
970114,5/23/05 12:00,5/23/05 12:00,10.3,25:57.1
970124,5/24/05 12:00,5/24/05 12:00,10.1,25:57.1
2125178,5/25/05 12:00,5/25/05 12:00,10.2,25:57.1
970143,5/26/05 12:00,5/26/05 12:00,10.14,25:57.1
970153,5/27/05 12:00,5/27/05 12:00,10.12,25:57.1
970162,5/28/05 12:00,5/28/05 12:00,10.12,25:57.1
970171,5/29/05 12:00,5/29/05 12:00,10.12,25:57.1
970179,5/30/05 12:00,5/30/05 12:00,10.12,25:57.1
970187,5/31/05 12:00,5/31/05 12:00,9.96,25:57.1
969905,6/1/05 12:00,6/1/05 12:00,9.38,25:57.1
969915,6/2/05 12:00,6/2/05 12:00,8.46,25:57.1
2125123,6/3/05 12:00,6/3/05 12:00,7.72,25:57.1
969933,6/4/05 12:00,6/4/05 12:00,7.08,25:57.1
969943,6/5/05 12:00,6/5/05 12:00,9.52,25:57.1
2125131,6/6/05 12:00,6/6/05 12:00,10.8,25:57.1
969962,6/7/05 12:00,6/7/05 12:00,8.88,25:57.1
969972,6/8/05 12:00,6/8/05 12:00,8.02,25:57.1
969981,6/9/05 12:00,6/9/05 12:00,7.64,25:57.1
969991,6/10/05 12:00,6/10/05 12:00,7.05,25:57.1
2125143,6/11/05 12:00,6/11/05 12:00,5.74,25:57.1
970010,6/12/05 12:00,6/12/05 12:00,5.58,25:57.1
970020,6/13/05 12:00,6/13/05 12:00,4.2,25:57.1
970029,6/14/05 12:00,6/14/05 12:00,6.42,25:57.1
970039,6/15/05 12:00,6/15/05 12:00,9.42,25:57.1
2125155,6/16/05 12:00,6/16/05 12:00,9.94,25:57.1
2125159,6/17/05 12:00,6/17/05 12:00,10,25:57.1
970067,6/18/05 12:00,6/18/05 12:00,10.18,25:57.1
970077,6/19/05 12:00,6/19/05 12:00,10.98,25:57.1
970086,6/20/05 12:00,6/20/05 12:00,11.32,25:57.1
